id, name, shortName, colorId, professor, eventType, groups, classroom, start, end, description, recurring, recurringType, recurringUntil, studyCode
532978,Multimedija,Multimedija,0,Russo Mladen,PREDAVANJE,,A302,2024-03-06T12:15,2024-03-06T14:00,srijeda 6.3.2024. 12:15 - 14:00 (2 sata),true,WEEKLY,do 9.6.2024.,512
534619,Multimedija,Multimedija,0,Bašić Martina,LABORATORIJSKA_VJEZBA,,B526,2024-03-06T18:00,2024-03-06T19:30,srijeda 6.3.2024. 18:00 - 19:30 (2 sata),true,WEEKLY,do 7.6.2024.,512
533002,Programiranje za internet,PZI,0,Šerić Ljiljana,PREDAVANJE,,A106,2024-03-07T08:15,2024-03-07T10:00,četvrtak 7.3.2024. 8:15 - 10:00 (2 sata),true,WEEKLY,do 9.6.2024.,512
533050,Trgovačko pravo,TP,0,Ćesić Zlatko,PREDAVANJE,,A106,2024-03-07T10:15,2024-03-07T12:00,četvrtak 7.3.2024. 10:15 - 12:00 (2 sata),true,WEEKLY,do 9.6.2024.,512
535298,Programiranje za internet,PZI,0,Radomiljac Andrej,LABORATORIJSKA_VJEZBA,,B526,2024-03-07T19:30,2024-03-07T21:00,četvrtak 7.3.2024. 19:30 - 21:00 (2 sata),true,EVERY_TWO_WEEKS,do 7.6.2024.,512
533038,Digitalna tehnika,DT,0,Pekić Vesna,AUDITORNA_VJEZBA,,C501,2024-03-08T13:15,2024-03-08T15:00,petak 8.3.2024. 13:15 - 15:00 (2 sata),true,WEEKLY,do 9.6.2024.,512
532919,Komunikacijski sustavi,KS,0,Radić Joško,PREDAVANJE,,A104,2024-03-11T09:15,2024-03-11T12:00,ponedjeljak 11.3.2024. 9:15 - 12:00 (3 sata),true,WEEKLY,do 9.6.2024.,512
532931,Komunikacijski sustavi,KS,0,Radić Joško,AUDITORNA_VJEZBA,,A104,2024-03-12T09:15,2024-03-12T11:00,utorak 12.3.2024. 9:15 - 11:00 (2 sata),true,WEEKLY,do 9.6.2024.,512
533027,Digitalna tehnika,DT,0,Čoko Duje,PREDAVANJE,,C501,2024-03-12T11:15,2024-03-12T14:00,utorak 12.3.2024. 11:15 - 14:00 (3 sata),true,WEEKLY,do 9.6.2024.,512
532979,Multimedija,Multimedija,0,Russo Mladen,PREDAVANJE,,A302,2024-03-13T12:15,2024-03-13T14:00,srijeda 13.3.2024. 12:15 - 14:00 (2 sata),true,WEEKLY,do 9.6.2024.,512
