id, name, shortName, colorId, professor, eventType, groups, classroom, start, end, description, recurring, recurringType, recurringUntil, studyCode
532145,Podržano strojno učenje,PSU,0,Vasilj Josip,PREDAVANJE,,A243,2024-05-14T08:15,2024-05-14T10:00,utorak 14.5.2024. 8:15 - 10:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532085,Metode optimizacije,MO,0,Marasović Jadranka,PREDAVANJE,,C502,2024-05-14T10:15,2024-05-14T12:00,utorak 14.5.2024. 10:15 - 12:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532121,IP komunikacije,IK,0,Russo Mladen,PREDAVANJE,,A105,2024-05-14T12:15,2024-05-14T14:00,utorak 14.5.2024. 12:15 - 14:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532073,Jezici i prevoditelji,JIP,0,Sikora Marjan,PREDAVANJE,,B401,2024-05-15T08:15,2024-05-15T11:00,srijeda 15.5.2024. 8:15 - 11:00 (3 sata),true,WEEKLY,do 9.6.2024.,250
532097,Napredne računalne arhitekture,NRA,0,Gotovac Sven,PREDAVANJE,,B401,2024-05-15T11:15,2024-05-15T13:00,srijeda 15.5.2024. 11:15 - 13:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
537779,Kriptografija i mrežna sigurnost,KIMS,0,Čagalj Mario,LABORATORIJSKA_VJEZBA,Grupa 4,A507,2024-05-15T13:15,2024-05-15T14:45,srijeda 15.5.2024. 13:15 - 14:45 (2 sata),true,WEEKLY,do 7.6.2024.,250
532146,Podržano strojno učenje,PSU,0,Vasilj Josip,PREDAVANJE,,A243,2024-05-15T15:15,2024-05-15T17:00,srijeda 15.5.2024. 15:15 - 17:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
535597,Jezici i prevoditelji,JIP,0,Sikora Marjan,LABORATORIJSKA_VJEZBA,Grupa 1,B526,2024-05-16T08:30,2024-05-16T10:00,četvrtak 16.5.2024. 8:30 - 10:00 (2 sata),true,WEEKLY,do 7.6.2024.,250
538991,Podržano strojno učenje,PSU,0,Vasilj Josip,LABORATORIJSKA_VJEZBA,Grupa 1,A507,2024-05-16T10:00,2024-05-16T12:15,četvrtak 16.5.2024. 10:00 - 12:15 (3 sata),true,WEEKLY,do 13.6.2024.,250
535338,IP komunikacije,IK,0,Meter Davor,LABORATORIJSKA_VJEZBA,Grupa 1,B526,2024-05-17T08:00,2024-05-17T09:30,petak 17.5.2024. 8:00 - 9:30 (2 sata),true,WEEKLY,do 7.6.2024.,250
532062,Kriptografija i mrežna sigurnost,KIMS,0,Čagalj Mario,PREDAVANJE,,C501,2024-05-20T10:15,2024-05-20T12:00,ponedjeljak 20.5.2024. 10:15 - 12:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
534201,Metode optimizacije,MO,0,Bašić Martina,LABORATORIJSKA_VJEZBA,Grupa 1,B420,2024-05-20T18:30,2024-05-20T20:00,ponedjeljak 20.5.2024. 18:30 - 20:00 (2 sata),true,WEEKLY,do 7.6.2024.,250
532086,Metode optimizacije,MO,0,Marasović Jadranka,PREDAVANJE,,C502,2024-05-21T10:15,2024-05-21T12:00,utorak 21.5.2024. 10:15 - 12:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532122,IP komunikacije,IK,0,Russo Mladen,PREDAVANJE,,A105,2024-05-21T12:15,2024-05-21T14:00,utorak 21.5.2024. 12:15 - 14:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532074,Jezici i prevoditelji,JIP,0,Sikora Marjan,PREDAVANJE,,B401,2024-05-22T08:15,2024-05-22T11:00,srijeda 22.5.2024. 8:15 - 11:00 (3 sata),true,WEEKLY,do 9.6.2024.,250
532098,Napredne računalne arhitekture,NRA,0,Gotovac Sven,PREDAVANJE,,B401,2024-05-22T11:15,2024-05-22T13:00,srijeda 22.5.2024. 11:15 - 13:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
537780,Kriptografija i mrežna sigurnost,KIMS,0,Čagalj Mario,LABORATORIJSKA_VJEZBA,Grupa 4,A507,2024-05-22T13:15,2024-05-22T14:45,srijeda 22.5.2024. 13:15 - 14:45 (2 sata),true,WEEKLY,do 7.6.2024.,250
535598,Jezici i prevoditelji,JIP,0,Sikora Marjan,LABORATORIJSKA_VJEZBA,Grupa 1,B526,2024-05-23T08:30,2024-05-23T10:00,četvrtak 23.5.2024. 8:30 - 10:00 (2 sata),true,WEEKLY,do 7.6.2024.,250
538992,Podržano strojno učenje,PSU,0,Vasilj Josip,LABORATORIJSKA_VJEZBA,Grupa 1,A507,2024-05-23T10:00,2024-05-23T12:15,četvrtak 23.5.2024. 10:00 - 12:15 (3 sata),true,WEEKLY,do 13.6.2024.,250
535339,IP komunikacije,IK,0,Meter Davor,LABORATORIJSKA_VJEZBA,Grupa 1,B526,2024-05-24T08:00,2024-05-24T09:30,petak 24.5.2024. 8:00 - 9:30 (2 sata),true,WEEKLY,do 7.6.2024.,250
532063,Kriptografija i mrežna sigurnost,KIMS,0,Čagalj Mario,PREDAVANJE,,C501,2024-05-27T10:15,2024-05-27T12:00,ponedjeljak 27.5.2024. 10:15 - 12:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
534202,Metode optimizacije,MO,0,Bašić Martina,LABORATORIJSKA_VJEZBA,Grupa 1,B420,2024-05-27T18:30,2024-05-27T20:00,ponedjeljak 27.5.2024. 18:30 - 20:00 (2 sata),true,WEEKLY,do 7.6.2024.,250
532147,Podržano strojno učenje,PSU,0,Vasilj Josip,PREDAVANJE,,A243,2024-05-28T08:15,2024-05-28T10:00,utorak 28.5.2024. 8:15 - 10:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532087,Metode optimizacije,MO,0,Marasović Jadranka,PREDAVANJE,,C502,2024-05-28T10:15,2024-05-28T12:00,utorak 28.5.2024. 10:15 - 12:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532123,IP komunikacije,IK,0,Russo Mladen,PREDAVANJE,,A105,2024-05-28T12:15,2024-05-28T14:00,utorak 28.5.2024. 12:15 - 14:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532075,Jezici i prevoditelji,JIP,0,Sikora Marjan,PREDAVANJE,,B401,2024-05-29T08:15,2024-05-29T11:00,srijeda 29.5.2024. 8:15 - 11:00 (3 sata),true,WEEKLY,do 9.6.2024.,250
532099,Napredne računalne arhitekture,NRA,0,Gotovac Sven,PREDAVANJE,,B401,2024-05-29T11:15,2024-05-29T13:00,srijeda 29.5.2024. 11:15 - 13:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
